pinchStrength,grabStrength,thumb_meta_proxi,thumb_proxi_inter,index_meta_proxi,index_proxi_inter,middle_meta_proxi,middle_proxi_inter,ring_meta_proxi,ring_proxi_inter,pinky_meta_proxi,pinky_proxi_inter,thumb_index,index_middle,middle_ring,ring_pinky,palm_direction,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_direction_x,index_direction_y,index_direction_z,middle_direction_x,middle_direction_y,middle_direction_z,ring_direction_x,ring_direction_y,ring_direction_z,pinky_direction_x,pinky_direction_y,pinky_direction_z,label
1.0,0.0,68.378955518854,35.87127340671274,24.096697020807255,8.575134943682512,60.19282978245936,76.73122725910444,66.19553308012756,75.15609472148849,67.26031276776834,74.8503359515745,29.93035813618362,53.62007859811617,3.481188532560583,2.8651917519187324,1,0.402801,-0.372935,-0.835865,0.0584293,-0.0991766,-0.993353,0.0696095,-0.78835,0.611277,-0.0733134,-0.77216,0.631185,-0.306186,-0.760399,0.572751,d
1.0,0.0,68.01313926700828,38.922404368064456,27.0445673413883,3.9839120147121263,64.64876573090089,74.46456032506335,69.74394038235762,74.12708479573375,70.17246629738852,73.5470602456297,29.377139322380554,55.559419950721654,2.697548837147533,3.6239710333352924,1,0.408466,-0.364209,-0.836963,0.0508264,-0.0564058,-0.997113,0.0845944,-0.772321,0.629575,-0.0807439,-0.749334,0.657251,-0.319939,-0.73849,0.593525,d
1.0,0.0,67.6170034080252,36.46820678354592,22.79310226853593,7.674161844115113,62.878572009496295,75.4796713830661,64.7658949532857,76.1195094589389,64.60299425030367,75.88508465593132,29.87745693344465,56.19490972902682,0.9387321656599671,2.802862188004915,1,0.432564,-0.383598,-0.81593,0.0587198,-0.106174,-0.992612,0.07043,-0.75754,0.648979,-0.0664296,-0.765625,0.639848,-0.303012,-0.772547,0.557992,d
1.0,0.0,69.62202224008077,34.32367507260531,25.364591890319275,6.035176523066041,67.52927197455611,75.18912925304886,65.98362237045686,76.83094217141624,63.995662861347206,74.07478060113354,29.94500268617366,60.54157794141781,4.032964341949246,4.357605077228393,1,0.420276,-0.40172,-0.813627,0.0676294,-0.111907,-0.991415,0.0878393,-0.682099,0.725965,-0.0402187,-0.72152,0.691225,-0.266976,-0.784531,0.559673,d
1.0,0.0,74.66164566820419,30.13901106066996,23.762769655261216,6.463601288739913,50.34423647079755,69.84047697636281,60.19872934104401,76.43920230438306,59.66951121554458,78.58150364971982,27.28141517093585,44.80325640840464,8.291851814287766,3.283872488527369,1,0.473427,-0.47872,-0.739388,0.11648,-0.196313,-0.973598,0.0417609,-0.867079,0.496417,-0.136151,-0.728361,0.67153,-0.34586,-0.715329,0.607194,d
1.0,0.0,66.79618661482056,40.50643756651624,26.663723134495427,4.707154345237834,61.06518445809129,73.53575841121638,67.23073170133443,76.36953283733511,66.9043545252398,75.40391826847318,32.04026364467203,53.67125848505709,3.8687344295916963,3.0456534991900845,1,0.411382,-0.409712,-0.814187,0.032306,-0.0888062,-0.995525,0.100084,-0.789832,0.605102,-0.0592081,-0.719517,0.691946,-0.307815,-0.725453,0.615603,d
1.0,0.0,72.24233187834486,30.002796207419184,23.07047275409673,10.726114140680718,42.469914551372014,58.897595569160536,54.87360287984187,75.33593880734587,55.331093911262954,79.74292685136653,28.513073695200355,37.627628153405176,11.118448073516063,2.3368408750317022,1,0.423711,-0.481934,-0.766947,0.101891,-0.26046,-0.960093,0.0891559,-0.976667,0.195377,-0.0698261,-0.799467,0.596638,-0.281499,-0.762502,0.582537,d
1.0,0.0,78.33145543323772,32.65085266946431,28.758558808998963,8.862904165352878,27.059341976571446,62.46797424222451,58.49795977634959,81.30772564049886,59.4278890559341,80.81260929181474,25.514994004081384,23.6542571097562,30.255583041614724,0.7545957688845265,1,0.489154,-0.408527,-0.770606,0.119302,-0.182002,-0.976034,-0.0186888,-0.994121,-0.106647,-0.144276,-0.744691,0.651628,-0.383658,-0.715892,0.583357,d
1.0,0.0,80.21240622727493,33.20672013117775,31.136584405283752,7.975372389578325,9.189108296478741,11.545177886313153,61.22362836951294,80.01811786772615,61.804353360372694,79.71417366671737,26.78174259798948,18.314232070639644,51.112343864112745,1.8703666099944272,1,0.530591,-0.376125,-0.759607,0.167339,-0.121871,-0.978338,-0.158302,-0.259313,-0.952732,-0.153496,-0.732453,0.663288,-0.384871,-0.707866,0.592284,d
1.0,0.0,75.36037889972847,29.462007967539012,24.504711542325605,8.54474192479108,50.41636793985683,76.56689368059658,58.71790077340476,76.73465507792822,58.78908214535552,79.37983302608026,24.94610486831336,43.240274843276374,7.131142851234696,2.87639790457275,1,0.448173,-0.442802,-0.776574,0.107178,-0.227027,-0.967973,0.06387,-0.820062,0.568699,-0.106806,-0.763797,0.636558,-0.316602,-0.739264,0.59435,d
1.0,0.0,75.76574623313141,30.973315760355316,26.325721095138043,7.09064302574924,45.127664949544915,85.70013537215009,60.41670216657351,76.69085404609781,60.892154223514076,78.5752551427878,26.18886470625658,38.74645756295104,13.513776065846395,2.329589106901678,1,0.457633,-0.442716,-0.771086,0.101522,-0.195848,-0.975365,0.0858934,-0.780184,0.619626,-0.0917485,-0.744795,0.660956,-0.315262,-0.719817,0.618444,d
1.0,0.0,80.35937746485537,31.305990171768375,29.417362180206887,11.28574793491778,18.25339382226923,43.3084658247765,54.9786313045196,78.9522971761012,52.59588347226982,82.04099717283589,27.089373506361667,19.367534089641335,35.922986179960105,4.494289525757029,1,0.492635,-0.4187,-0.76289,0.140555,-0.197601,-0.970154,-0.0749716,-0.842512,-0.533434,-0.151991,-0.791285,0.592256,-0.34535,-0.770749,0.535425,d
