palm_direction,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_direction_x,index_direction_y,index_direction_z,middle_direction_x,middle_direction_y,middle_direction_z,ring_direction_x,ring_direction_y,ring_direction_z,pinky_direction_x,pinky_direction_y,pinky_direction_z,thumb_indexpipdistance,thumb_middlepipdistance,thumb_ringpipdistance,thumb_pinkypipdistance,label
1,0.402801,-0.372935,-0.835865,0.0584293,-0.0991766,-0.993353,0.0696095,-0.78835,0.611277,-0.0733134,-0.77216,0.631185,-0.306186,-0.760399,0.572751,82.62262397606361,64.98959614933455,67.71598193461227,74.35787193276849,d
1,0.408466,-0.364209,-0.836963,0.0508264,-0.0564058,-0.997113,0.0845944,-0.772321,0.629575,-0.0807439,-0.749334,0.657251,-0.319939,-0.73849,0.593525,81.94754289013187,62.26450510925145,66.22599082501446,73.49142651216127,d
1,0.432564,-0.383598,-0.81593,0.0587198,-0.106174,-0.992612,0.07043,-0.75754,0.648979,-0.0664296,-0.765625,0.639848,-0.303012,-0.772547,0.557992,82.92048878540213,63.86174484501657,69.05525430792723,76.27062548941171,d
1,0.420276,-0.40172,-0.813627,0.0676294,-0.111907,-0.991415,0.0878393,-0.682099,0.725965,-0.0402187,-0.72152,0.691225,-0.266976,-0.784531,0.559673,82.62507428486828,60.14804983447094,67.06854721238264,74.94337254988528,d
1,0.473427,-0.47872,-0.739388,0.11648,-0.196313,-0.973598,0.0417609,-0.867079,0.496417,-0.136151,-0.728361,0.67153,-0.34586,-0.715329,0.607194,81.56527958721163,67.83371971917876,67.16181961747314,72.89926071527451,d
1,0.411382,-0.409712,-0.814187,0.032306,-0.0888062,-0.995525,0.100084,-0.789832,0.605102,-0.0592081,-0.719517,0.691946,-0.307815,-0.725453,0.615603,83.38194362198568,65.27761397791743,68.48640744660577,75.99932468976353,d
1,0.423711,-0.481934,-0.766947,0.101891,-0.26046,-0.960093,0.0891559,-0.976667,0.195377,-0.0698261,-0.799467,0.596638,-0.281499,-0.762502,0.582537,82.01133768510302,72.99417321348383,71.54390970005763,76.62214816803038,d
1,0.489154,-0.408527,-0.770606,0.119302,-0.182002,-0.976034,-0.0186888,-0.994121,-0.106647,-0.144276,-0.744691,0.651628,-0.383658,-0.715892,0.583357,80.47699730189987,78.66602612265919,66.24514845005633,70.76486027642251,d
1,0.530591,-0.376125,-0.759607,0.167339,-0.121871,-0.978338,-0.158302,-0.259313,-0.952732,-0.153496,-0.732453,0.663288,-0.384871,-0.707866,0.592284,80.15838522151003,85.26174314319465,63.88665509267252,68.40736355194812,d
1,0.448173,-0.442802,-0.776574,0.107178,-0.227027,-0.967973,0.06387,-0.820062,0.568699,-0.106806,-0.763797,0.636558,-0.316602,-0.739264,0.59435,80.46299982501274,67.35461932391405,67.54339682778473,72.76415169931138,d
1,0.457633,-0.442716,-0.771086,0.101522,-0.195848,-0.975365,0.0858934,-0.780184,0.619626,-0.0917485,-0.744795,0.660956,-0.315262,-0.719817,0.618444,80.86958598416342,70.27786652903174,66.31105362332589,71.56527109372884,d
1,0.492635,-0.4187,-0.76289,0.140555,-0.197601,-0.970154,-0.0749716,-0.842512,-0.533434,-0.151991,-0.791285,0.592256,-0.34535,-0.770749,0.535425,80.6044833514861,82.03376035817755,67.33400060808803,72.16508656683413,d
1,0.445804,-0.399855,-0.800859,0.0494841,-0.130599,-0.9902,0.0294478,-0.747593,0.663504,-0.116531,-0.75261,0.648073,-0.359002,-0.743684,0.56396,79.4157374844558,61.968929516331,65.98941485571758,71.06500970976434,d
1,0.418237,-0.425974,-0.802261,0.030268,-0.147171,-0.988648,0.0574828,-0.824986,0.562222,-0.0878879,-0.793271,0.602492,-0.314334,-0.781587,0.53881,81.15073780496392,64.94450322515678,68.89938998430972,73.51788485036073,d
1,0.436456,-0.405346,-0.803244,0.0536385,-0.136819,-0.989143,0.129305,-0.865052,0.484733,-0.032122,-0.814819,0.578825,-0.20386,-0.900491,0.384131,82.55594501233693,67.35311422769107,70.92450729867637,79.40296615672742,d
1,0.438923,-0.420999,-0.793792,0.0601303,-0.132393,-0.989372,0.0573666,-0.805984,0.589151,-0.0850527,-0.807159,0.584175,-0.312368,-0.795459,0.519299,81.7299801719051,65.2628312475792,69.67601994904703,75.3976469441328,d
1,0.448303,-0.454803,-0.769531,0.0492539,-0.15647,-0.986454,0.0716063,-0.833659,0.547617,-0.0853778,-0.788302,0.609337,-0.30227,-0.792407,0.529835,82.38488688612738,67.45645755522298,70.15097371989928,76.0215853064115,d
1,0.462538,-0.429982,-0.775354,0.0526809,-0.159053,-0.985864,0.00682022,-0.834337,0.551213,-0.131166,-0.810219,0.571262,-0.363334,-0.78652,0.499374,80.61512024955368,64.8280487671571,68.52575900447947,73.28552810105144,d
1,0.432742,-0.443807,-0.78471,0.0513336,-0.158519,-0.986021,0.0594544,-0.812678,0.579672,-0.0840686,-0.801986,0.591397,-0.307479,-0.805273,0.506943,81.9736801226467,65.57942440569984,70.5994224356687,76.49901501091371,d
1,0.472972,-0.47511,-0.742003,0.105773,-0.211826,-0.971567,0.0457735,-0.904056,0.424956,-0.100023,-0.845808,0.524026,-0.286413,-0.872659,0.395518,81.48011146531405,68.74916899853336,71.22157293587385,77.67769947996658,d
1,0.420273,-0.436143,-0.795707,0.0380074,-0.0998696,-0.994274,0.00109549,-0.711196,0.702993,-0.154985,-0.735642,0.659401,-0.388415,-0.781811,0.487755,82.45771971707683,63.08654421950849,69.55202366833046,77.32598887359218,d
1,0.475107,-0.436511,-0.764023,0.102269,-0.168153,-0.980442,-0.0185891,-0.724499,0.689025,-0.183873,-0.78473,0.591937,-0.41193,-0.793947,0.447172,79.82552668163235,66.33784349315931,68.7150908373117,74.165381090169,d
1,0.539253,-0.39709,-0.742648,0.147518,-0.206064,-0.967355,-0.0495801,-0.762212,0.645426,-0.173026,-0.788132,0.590685,-0.407054,-0.768925,0.493012,78.49522907651205,63.068901534218114,66.08438600553765,71.20628993944916,d
1,0.411127,-0.442872,-0.796768,0.0746231,-0.138729,-0.987515,-0.0278439,-0.849426,0.526973,-0.167066,-0.825004,0.539868,-0.3856,-0.839148,0.383592,80.35938849176245,68.01623247968092,71.47324014972317,76.95382184258297,d
1,0.489055,-0.417271,-0.76597,0.139581,-0.18362,-0.973037,-0.0175901,-0.7558,0.654567,-0.174989,-0.77592,0.606075,-0.40552,-0.776513,0.482268,78.84446166229813,65.40735031868284,67.48476602115473,73.08658554262882,d
1,-0.234692,0.0379227,-0.97133,0.0543243,-0.963014,-0.263917,-0.105046,-0.969615,-0.220933,-0.162715,-0.935177,-0.314591,-0.257395,-0.850581,-0.458541,79.18067850176583,91.85625827998874,96.32350556568423,101.23571561212968,e
1,-0.25968,0.0390396,-0.964905,0.0381046,-0.966322,-0.254499,-0.122067,-0.970421,-0.208287,-0.179687,-0.935218,-0.30509,-0.273135,-0.84954,-0.451308,79.35000663642064,91.94263149817934,96.35180027454028,101.17679555332833,e
1,-0.101997,-0.045115,-0.993761,0.0202764,-0.978065,-0.207309,-0.145404,-0.973156,-0.178396,-0.207415,-0.935965,-0.284516,-0.302181,-0.837382,-0.455498,78.52721274819322,90.77713129555262,95.27969485199876,99.99520502274095,e
1,0.154139,-0.114447,-0.981399,0.0561049,-0.997208,-0.0492724,-0.113117,-0.98999,-0.0844097,-0.17144,-0.961086,-0.216616,-0.271381,-0.879669,-0.390556,74.25669920061084,86.23631767501207,92.53230503888898,98.05770344873471,e
1,0.00814598,-0.056205,-0.998386,0.0851912,-0.994843,-0.0550441,-0.0848724,-0.991783,-0.095727,-0.147882,-0.970602,-0.189901,-0.261434,-0.898404,-0.352877,76.6826748130893,88.42027065893883,94.17463922157387,99.30955475501841,e
1,0.201895,-0.232837,-0.951328,0.100522,-0.994495,-0.0295649,-0.0672342,-0.996013,-0.0586294,-0.122834,-0.977714,-0.170255,-0.220629,-0.912093,-0.345556,73.35303687551047,85.37955693150205,91.2838169713011,96.82397892288873,e
1,0.18432,-0.228367,-0.955968,0.070289,-0.996076,0.0537751,-0.0982614,-0.994876,-0.0237926,-0.15088,-0.970564,-0.187727,-0.240535,-0.895459,-0.374562,73.24395289721876,85.78928315831996,92.19463955740594,97.88331204270726,e
1,0.192252,-0.174457,-0.965714,0.036015,-0.998964,0.0278141,-0.131671,-0.989921,-0.0521397,-0.183302,-0.95592,-0.229383,-0.272776,-0.8686,-0.413675,72.70069431951802,85.19246560625005,91.66416935318838,97.19311946784093,e
1,0.219667,-0.170992,-0.960473,-0.00313028,-0.998822,-0.04843,-0.169357,-0.980079,-0.103745,-0.218508,-0.942276,-0.253712,-0.30432,-0.851784,-0.426443,73.36146100289989,85.38975895756411,91.65609583573806,96.94227187625633,e
1,0.14636,-0.107085,-0.983418,0.0133978,-0.995534,-0.0934456,-0.153888,-0.977617,-0.14347,-0.209263,-0.941849,-0.262923,-0.304405,-0.851081,-0.427783,75.24022860365325,87.85420219598434,93.89969324976519,98.98731447665402,e
1,0.152497,-0.132751,-0.979348,0.029354,-0.991268,-0.128556,-0.138086,-0.978095,-0.155763,-0.193345,-0.94225,-0.273463,-0.288393,-0.853891,-0.433243,75.52996948132575,88.17964835320231,94.18717404254149,99.36227033678328,e
1,0.172804,-0.0858115,-0.981211,0.128827,-0.986861,0.0975088,-0.0401072,-0.998086,-0.0470803,-0.0953931,-0.965114,-0.243836,-0.194711,-0.88591,-0.421011,73.64342960597367,86.71823438505942,93.16325814933697,98.65619389257829,e
1,0.25963,-0.194242,-0.945972,0.0633962,-0.994082,0.0882135,-0.114456,-0.993066,-0.0268216,-0.168339,-0.953182,-0.25121,-0.257634,-0.855901,-0.448395,70.37834737334771,82.897517063239,90.11786452934845,95.75086015702416,e
1,-0.198494,0.0902207,-0.975941,0.0869694,-0.968755,-0.23227,-0.0727202,-0.962818,-0.26018,-0.12574,-0.926755,-0.353999,-0.224877,-0.850445,-0.475576,78.89800459149775,91.56566748170407,95.7999994827265,100.37510633030483,e
1,0.188285,-0.103123,-0.976685,0.0870028,-0.995533,0.0366801,-0.0814076,-0.994289,-0.0690148,-0.135589,-0.959999,-0.244985,-0.233834,-0.879305,-0.414904,73.28437655742184,86.14658439504669,92.32202001722017,97.85946370126906,e
1,0.176305,-0.0717766,-0.981715,0.0413708,-0.997072,-0.0643054,-0.12584,-0.980822,-0.148839,-0.17926,-0.940129,-0.289868,-0.277928,-0.854198,-0.439434,74.12985740206169,87.18729111183355,93.21756750918789,98.37161846254233,e
1,0.155588,-0.0669391,-0.985551,0.130705,-0.989626,-0.0596283,-0.0356876,-0.992642,-0.11571,-0.0933039,-0.967172,-0.236375,-0.201922,-0.897355,-0.392405,74.84720519137637,87.26210615685368,92.78983732704783,97.61855973517537,e
1,0.0326504,-0.118517,-0.992415,0.123427,-0.992037,-0.0250613,-0.0414953,-0.995979,-0.0794033,-0.0951528,-0.971225,-0.218329,-0.180618,-0.892167,-0.414024,77.75765990537525,90.21853372517424,95.88923428774473,101.35351323688785,e
